data,valor
01/02/1999,2.38
01/01/1999,2.18
01/12/1998,2.4
01/11/1998,2.63
01/10/1998,2.94
01/09/1998,2.49
01/08/1998,1.48
01/07/1998,1.7
01/06/1998,1.6
01/05/1998,1.63
01/04/1998,1.71
01/03/1998,2.2
01/02/1998,2.13
01/01/1998,2.67
01/12/1997,2.97
01/11/1997,3.04
01/10/1997,1.67
01/09/1997,1.59
01/08/1997,1.59
01/07/1997,1.6
01/06/1997,1.61
01/05/1997,1.58
01/04/1997,1.66
01/03/1997,1.64
01/02/1997,1.67
01/01/1997,1.73
01/12/1996,1.8
01/11/1996,1.8
01/10/1996,1.86
01/09/1996,1.9
01/08/1996,1.97
01/07/1996,1.93
01/06/1996,1.98
01/05/1996,2.01
01/04/1996,2.07
01/03/1996,2.22
01/02/1996,2.35
01/01/1996,2.58
01/12/1995,2.78
01/11/1995,2.88
01/10/1995,3.09
01/09/1995,3.32
01/08/1995,3.84
01/07/1995,4.02
01/06/1995,4.04
01/05/1995,4.25
01/04/1995,4.26
01/03/1995,2.6
01/02/1995,3.63
01/01/1995,0.0
